condition,seed,epsilon_m,kernel_sigma_m,candidates,selected,correct,precision,recall,pose_status,translation_error_m,yaw_error_deg,consistent,error
noise_020,61,0.5,0.2,34,5,5,1.0,0.5,estimated,0.22032162911422418,5.369833764382761,True,
noise_020,62,0.05,0.2,34,3,3,1.0,0.3,estimated,0.20964637614468706,1.036688707784667,True,
noise_020,62,0.2,0.2,34,4,4,1.0,0.4,estimated,0.12370567442002289,2.5257911474444654,True,
noise_020,62,0.5,0.2,34,7,7,1.0,0.7,estimated,0.04441197865187693,1.0031450409363094,True,
noise_020,63,0.05,0.2,34,3,3,1.0,0.3,estimated,0.08338483570838903,1.6341700069549576,True,
noise_020,63,0.2,0.2,34,5,5,1.0,0.5,estimated,0.07608664857154596,0.7587517129924058,True,
noise_020,63,0.5,0.2,34,6,6,1.0,0.6,estimated,0.095015168535904,1.0078657958220703,True,
noise_020,64,0.05,0.2,34,2,2,1.0,0.2,estimated,0.009852225094575702,3.1274975708352075,True,
noise_020,64,0.2,0.2,34,4,4,1.0,0.4,estimated,0.09878623306203016,3.1236690054380554,True,
noise_020,64,0.5,0.2,34,7,7,1.0,0.7,estimated,0.0945930116386059,0.9635604867245542,True,
noise_020,65,0.05,0.2,34,2,2,1.0,0.2,estimated,0.16302082906615745,1.3849536342074014,True,
noise_020,65,0.2,0.2,34,3,3,1.0,0.3,estimated,0.1775768884655052,1.1710438804854322,True,
noise_020,65,0.5,0.2,34,5,5,1.0,0.5,estimated,0.13692946189513264,0.9372991154239954,True,
noise_020,66,0.05,0.2,34,3,3,1.0,0.3,estimated,0.19010237822906945,0.3703800419323476,True,
noise_020,66,0.2,0.2,34,4,4,1.0,0.4,estimated,0.20411395735116822,2.5702201259490787,True,
noise_020,66,0.5,0.2,34,6,6,1.0,0.6,estimated,0.04691271411419576,4.942134033139059,True,
noise_020,67,0.05,0.2,34,3,3,1.0,0.3,estimated,0.09614194186779212,1.1671077435554695,True,
noise_020,67,0.2,0.2,34,5,5,1.0,0.5,estimated,0.06602471121593183,0.743002495263455,True,
noise_020,67,0.5,0.2,34,7,7,1.0,0.7,estimated,0.14073972903587434,0.4229356736828049,True,
noise_020,68,0.05,0.2,34,2,2,1.0,0.2,estimated,0.4073383753100758,4.831324744060205,True,
noise_020,68,0.2,0.2,34,4,4,1.0,0.4,estimated,0.16263491039762457,0.3357941530623002,True,
noise_020,68,0.5,0.2,34,6,6,1.0,0.6,estimated,0.17965428238223055,0.7890427234943531,True,
noise_020,69,0.05,0.2,34,2,1,0.5,0.1,estimated,2.5335922322672992,83.96365811579427,True,
noise_020,69,0.2,0.2,34,5,5,1.0,0.5,estimated,0.11911605389509022,0.26166774059182457,True,
noise_020,69,0.5,0.2,34,6,6,1.0,0.6,estimated,0.09202573829277531,0.27722324821230093,True,
noise_020,70,0.05,0.2,34,2,2,1.0,0.2,estimated,0.20843892655722202,2.4530668986361452,True,
noise_020,70,0.2,0.2,34,4,4,1.0,0.4,estimated,0.1866308606551196,1.553298777397071,True,
noise_020,70,0.5,0.2,34,5,5,1.0,0.5,estimated,0.15275334016707393,1.374349309196764,True,
noise_020,71,0.05,0.2,34,3,3,1.0,0.3,estimated,0.14708105206689034,1.7460289313226807,True,
noise_020,71,0.2,0.2,34,5,5,1.0,0.5,estimated,0.1433772131666836,2.8583646205455566,True,
noise_020,71,0.5,0.2,34,7,7,1.0,0.7,estimated,0.0633732746491545,1.3481874626838826,True,
