condition,seed,extra_objects,noise_std_m,candidate_count,correct_candidates,candidate_precision,candidate_recall,oracle_translation_error_m,oracle_yaw_error_deg
extra_2,49,2,0.0,41,10,0.24390243902439024,1.0,0.0,0.0
extra_2,50,2,0.0,41,10,0.24390243902439024,1.0,8.881784197001252e-16,0.0
extra_2,51,2,0.0,41,10,0.24390243902439024,1.0,1.9860273225978185e-15,6.3611093629270335e-15
extra_2,52,2,0.0,41,10,0.24390243902439024,1.0,0.0,0.0
extra_2,53,2,0.0,41,10,0.24390243902439024,1.0,1.9860273225978185e-15,0.0
extra_2,54,2,0.0,41,10,0.24390243902439024,1.0,1.7763568394002505e-15,6.3611093629270335e-15
extra_2,55,2,0.0,41,10,0.24390243902439024,1.0,0.0,0.0
extra_2,56,2,0.0,41,10,0.24390243902439024,1.0,0.0,0.0
extra_2,57,2,0.0,41,10,0.24390243902439024,1.0,0.0,6.3611093629270335e-15
extra_2,58,2,0.0,41,10,0.24390243902439024,1.0,0.0,0.0
extra_2,59,2,0.0,41,10,0.24390243902439024,1.0,0.0,1.2722218725854067e-14
extra_2,60,2,0.0,41,10,0.24390243902439024,1.0,1.9860273225978185e-15,6.3611093629270335e-15
extra_2,61,2,0.0,41,10,0.24390243902439024,1.0,0.0,0.0
extra_2,62,2,0.0,41,10,0.24390243902439024,1.0,1.7763568394002505e-15,6.3611093629270335e-15
extra_2,63,2,0.0,41,10,0.24390243902439024,1.0,0.0,0.0
extra_2,64,2,0.0,41,10,0.24390243902439024,1.0,1.9860273225978185e-15,6.3611093629270335e-15
extra_2,65,2,0.0,41,10,0.24390243902439024,1.0,8.881784197001252e-16,1.2722218725854067e-14
extra_2,66,2,0.0,41,10,0.24390243902439024,1.0,0.0,6.3611093629270335e-15
extra_2,67,2,0.0,41,10,0.24390243902439024,1.0,1.7763568394002505e-15,0.0
extra_2,68,2,0.0,41,10,0.24390243902439024,1.0,1.7763568394002505e-15,0.0
extra_2,69,2,0.0,41,10,0.24390243902439024,1.0,0.0,6.3611093629270335e-15
extra_2,70,2,0.0,41,10,0.24390243902439024,1.0,0.0,6.3611093629270335e-15
extra_2,71,2,0.0,41,10,0.24390243902439024,1.0,0.0,6.3611093629270335e-15
extra_5,42,5,0.0,51,10,0.19607843137254902,1.0,0.0,0.0
extra_5,43,5,0.0,51,10,0.19607843137254902,1.0,0.0,6.3611093629270335e-15
extra_5,44,5,0.0,51,10,0.19607843137254902,1.0,0.0,0.0
extra_5,45,5,0.0,51,10,0.19607843137254902,1.0,0.0,0.0
extra_5,46,5,0.0,51,10,0.19607843137254902,1.0,1.7763568394002505e-15,0.0
extra_5,47,5,0.0,51,10,0.19607843137254902,1.0,0.0,0.0
extra_5,48,5,0.0,51,10,0.19607843137254902,1.0,0.0,0.0
extra_5,49,5,0.0,51,10,0.19607843137254902,1.0,0.0,0.0
extra_5,50,5,0.0,51,10,0.19607843137254902,1.0,8.881784197001252e-16,6.3611093629270335e-15
extra_5,51,5,0.0,51,10,0.19607843137254902,1.0,1.9860273225978185e-15,6.3611093629270335e-15
extra_5,52,5,0.0,51,10,0.19607843137254902,1.0,0.0,6.3611093629270335e-15
extra_5,53,5,0.0,51,10,0.19607843137254902,1.0,1.9860273225978185e-15,0.0
extra_5,54,5,0.0,51,10,0.19607843137254902,1.0,1.7763568394002505e-15,6.3611093629270335e-15
extra_5,55,5,0.0,51,10,0.19607843137254902,1.0,0.0,1.2722218725854067e-14
extra_5,56,5,0.0,51,10,0.19607843137254902,1.0,0.0,0.0
extra_5,57,5,0.0,51,10,0.19607843137254902,1.0,0.0,6.3611093629270335e-15
extra_5,58,5,0.0,51,10,0.19607843137254902,1.0,0.0,0.0
extra_5,59,5,0.0,51,10,0.19607843137254902,1.0,0.0,0.0
extra_5,60,5,0.0,51,10,0.19607843137254902,1.0,1.9860273225978185e-15,6.3611093629270335e-15
extra_5,61,5,0.0,51,10,0.19607843137254902,1.0,0.0,0.0
extra_5,62,5,0.0,51,10,0.19607843137254902,1.0,1.7763568394002505e-15,6.3611093629270335e-15
extra_5,63,5,0.0,51,10,0.19607843137254902,1.0,0.0,0.0
extra_5,64,5,0.0,51,10,0.19607843137254902,1.0,1.9860273225978185e-15,6.3611093629270335e-15
extra_5,65,5,0.0,51,10,0.19607843137254902,1.0,8.881784197001252e-16,0.0
extra_5,66,5,0.0,51,10,0.19607843137254902,1.0,0.0,6.3611093629270335e-15
extra_5,67,5,0.0,51,10,0.19607843137254902,1.0,1.7763568394002505e-15,0.0
extra_5,68,5,0.0,51,10,0.19607843137254902,1.0,1.7763568394002505e-15,6.3611093629270335e-15
extra_5,69,5,0.0,51,10,0.19607843137254902,1.0,0.0,6.3611093629270335e-15
extra_5,70,5,0.0,51,10,0.19607843137254902,1.0,0.0,6.3611093629270335e-15
extra_5,71,5,0.0,51,10,0.19607843137254902,1.0,0.0,6.3611093629270335e-15
extra_10,42,10,0.0,68,10,0.14705882352941177,1.0,0.0,6.3611093629270335e-15
extra_10,43,10,0.0,68,10,0.14705882352941177,1.0,0.0,6.3611093629270335e-15
extra_10,44,10,0.0,68,10,0.14705882352941177,1.0,0.0,0.0
extra_10,45,10,0.0,68,10,0.14705882352941177,1.0,0.0,6.3611093629270335e-15
extra_10,46,10,0.0,68,10,0.14705882352941177,1.0,1.7763568394002505e-15,0.0
extra_10,47,10,0.0,68,10,0.14705882352941177,1.0,0.0,0.0
extra_10,48,10,0.0,68,10,0.14705882352941177,1.0,0.0,6.3611093629270335e-15
extra_10,49,10,0.0,68,10,0.14705882352941177,1.0,0.0,6.3611093629270335e-15
extra_10,50,10,0.0,68,10,0.14705882352941177,1.0,8.881784197001252e-16,6.3611093629270335e-15
extra_10,51,10,0.0,68,10,0.14705882352941177,1.0,1.9860273225978185e-15,0.0
extra_10,52,10,0.0,68,10,0.14705882352941177,1.0,0.0,6.3611093629270335e-15
extra_10,53,10,0.0,68,10,0.14705882352941177,1.0,1.7763568394002505e-15,1.2722218725854067e-14
extra_10,54,10,0.0,68,10,0.14705882352941177,1.0,1.7763568394002505e-15,0.0
extra_10,55,10,0.0,68,10,0.14705882352941177,1.0,0.0,6.3611093629270335e-15
extra_10,56,10,0.0,68,10,0.14705882352941177,1.0,0.0,6.3611093629270335e-15
extra_10,57,10,0.0,68,10,0.14705882352941177,1.0,0.0,6.3611093629270335e-15
extra_10,58,10,0.0,68,10,0.14705882352941177,1.0,0.0,0.0
extra_10,59,10,0.0,68,10,0.14705882352941177,1.0,0.0,0.0
extra_10,60,10,0.0,68,10,0.14705882352941177,1.0,1.9860273225978185e-15,6.3611093629270335e-15
extra_10,61,10,0.0,68,10,0.14705882352941177,1.0,0.0,0.0
extra_10,62,10,0.0,68,10,0.14705882352941177,1.0,1.7763568394002505e-15,6.3611093629270335e-15
